subject,cond,note1,note2,resp,rt,niveau
1464614003,1,2,7,-1,3166,2
1464614003,1,10,5,-1,2100,2
1464614003,1,11,4,-1,1402,2
1464614003,1,6,0,-1,4603,2
1464614003,1,11,5,1,588,2
1464614003,1,8,3,-1,7497,2
1464614003,1,3,10,1,489,2
1464614003,1,7,2,-1,679,2
1464614003,1,7,2,-1,1013,2
1464614003,1,4,11,1,538,2
1464614003,1,8,5,-1,1614,2
1464614003,1,3,10,1,296,2
1464614003,1,3,9,1,1787,2
1464614003,1,3,10,1,386,2
1464614003,1,7,2,-1,283,2
1464614003,1,8,2,-1,394,2
1464614003,1,2,8,1,313,2
1464614003,1,8,3,-1,5442,2
1464614003,1,8,4,1,3263,2
1464614003,1,10,5,-1,771,2
1464614003,1,7,1,-1,2343,2
1464614003,1,11,6,1,3591,2
1464614003,1,7,0,-1,722,2
1464614003,1,4,10,1,3065,2
1464614003,1,9,4,-1,802,2
1464614003,1,9,4,-1,244,2
1464614003,1,7,0,-1,1260,2
1464614003,1,11,6,1,386,2
1464614003,1,7,1,-1,894,2
1464614003,1,2,7,1,387,2
1464614003,1,3,8,1,426,2
1464614003,1,3,8,1,285,2
1464614003,1,5,2,-1,264,2
1464614003,1,4,10,-1,1725,2
1464614003,1,8,3,1,5632,2
1464614003,1,10,3,-1,325,2
1464614003,1,3,9,1,579,2
1464614003,1,7,2,-1,244,2
1464614003,1,1,6,1,424,2
1464614003,1,4,11,1,4454,2
1464614003,1,9,4,-1,1674,2
1464614003,1,10,3,-1,2069,2
1464614003,1,9,2,-1,793,2
1464614003,1,6,1,-1,2151,2
1464614003,1,9,3,-1,1278,2
1464614003,1,9,4,1,658,2
1464614003,1,8,1,-1,832,2
1464614003,1,4,6,1,588,2
1464614003,1,11,5,-1,364,2
1464614003,1,10,4,-1,193,2
1464614003,1,3,8,1,943,2
1464614003,1,2,9,1,558,2
1464614003,1,2,0,1,1055,2
1464614003,1,3,10,-1,305,2
1464614003,1,5,0,-1,2795,2
1464614003,1,2,9,1,4670,2
1464614003,1,6,0,-1,253,2
1464614003,1,9,3,1,872,2
1464614003,1,2,9,-1,345,2
1464614003,1,11,4,-1,1482,2
1464614003,1,5,0,1,1768,2
1464614003,1,0,5,-1,1957,2
1464614003,1,4,11,1,326,2
1464614003,1,1,8,1,1290,2
1464614003,1,10,5,1,5162,2
1464614003,1,9,2,-1,3531,2
1464614003,1,9,3,1,3763,2
1464614003,1,0,7,-1,6424,2
1464614003,1,1,2,1,4334,2
1464614003,1,3,8,-1,8311,2
1464614003,1,9,0,1,1896,2
1464614003,1,10,1,-1,4180,2
1464614003,1,9,3,1,802,2
1464614003,1,3,8,1,6277,2
1464614003,1,6,1,-1,5954,2
1464614003,1,0,6,1,253,2
1464614003,1,2,9,1,1267,2
1464614003,1,11,3,1,4066,2
1464614003,1,10,3,-1,2080,2
1464614003,1,1,7,1,4012,2
1464614003,1,0,7,1,679,2
1464614003,1,0,7,1,243,2
1464614003,1,2,10,-1,5059,2
1464614003,1,10,3,1,790,2
1464614003,1,2,9,1,2588,2
1464614003,1,8,3,-1,1542,2
1464614003,1,8,3,-1,4005,2
1464614003,1,11,6,1,2952,2
1464614003,1,6,0,1,2393,2
1464614003,1,0,5,-1,235,2
1464614003,1,2,9,1,3134,2
1464614003,1,9,2,-1,1744,2
1464614003,1,4,9,1,255,2
1464614003,1,8,2,-1,832,2
1464614003,1,1,8,1,274,2
1464614003,1,5,0,-1,1635,2
1464614003,1,6,11,-1,1239,2
1464614003,1,4,9,-1,1554,2
1464614003,1,7,2,-1,812,2
1464614003,1,9,2,-1,641,2
1464614003,1,1,8,1,143,2
1464614003,1,1,6,1,1636,2
1464614003,1,10,7,1,2749,2
1464614003,1,5,10,1,1471,2
1464614003,1,3,9,1,518,2
1464614003,1,1,7,1,1309,2
1464614003,1,2,7,1,265,2
1464614003,1,5,10,1,5476,2
1464614003,1,5,11,1,630,2
1464614003,1,2,9,1,2588,2
1464614003,1,9,4,-1,143,2
1464614003,1,1,6,1,225,2
1464614003,1,6,1,-1,832,2
1464614003,1,3,10,1,1854,2
1464614003,1,3,8,1,617,2
1464614003,1,1,4,1,710,2
1464614003,1,0,7,1,286,2
1464614003,1,2,7,1,266,2
1464614003,1,3,10,1,123,2
1464614003,1,1,8,1,111,2
1464614003,1,10,3,-1,293,2
1464614003,1,7,0,-1,202,2
1464614003,1,2,8,1,193,2
1464614003,1,10,4,1,1188,2
1464614003,1,8,3,-1,213,2
1464614003,1,11,5,-1,3744,2
1464614003,1,4,9,1,467,2
1464614003,1,4,9,1,215,2
1464614003,1,11,5,-1,183,2
1464614003,1,10,9,1,5032,2
1464614003,1,1,6,1,1752,2
1464614003,1,5,0,-1,560,2
1464614003,1,10,4,1,1147,2
1464614003,1,11,10,1,538,2
1464614003,1,4,3,-1,6862,2
1464614003,1,1,6,1,71,2
1464614003,1,4,11,1,2099,2
1464614003,1,7,0,1,183,2
1464614003,1,10,5,-1,325,2
1464614003,1,5,11,1,1450,2
1464614003,1,5,0,1,253,2
1464614003,1,11,4,-1,1116,2
1464614003,1,7,0,1,1450,2
1464614003,1,11,5,-1,171,2
1464614003,1,11,6,1,558,2
1464614003,1,3,9,1,1481,2
1464614003,1,5,10,1,355,2
